part_age_group,round,cuminf_mean,cuminf_lower,cuminf_upper,date
0-9,1,0,NA,NA,2020-04-04
10-19,1,0.010421662532308671,0.0019663855067710875,0.0313578809116114,2020-04-03
20-29,1,0.04824461947587928,0.01879899978807824,0.09928895418286132,2020-04-04
30-39,1,0.027348367215353053,0.013366959316701607,0.04928295552549766,2020-04-03
40-49,1,0.013578947054789403,0.004440020676645913,0.0313384945510784,2020-04-03
50-59,1,0.012034481056716522,0.00408541985069833,0.027228758171657597,2020-04-03
60-69,1,0.02619320227398615,0.01154440221076003,0.050486292568413194,2020-04-02
70+,1,0.03310280934452604,0.011732847261946422,0.0723616839959994,2020-04-02
0-9,2,0.007329790703388992,0.0022993241640111265,0.017359408916015173,2020-06-14
10-19,2,0.03433085784071753,0.016197395551581596,0.06319173951952872,2020-06-14
20-29,2,0.0694971229627234,0.04644290715374649,0.09926088865855631,2020-06-13
30-39,2,0.03992253449849374,0.027243084395661865,0.05625775086575735,2020-06-14
40-49,2,0.04239016468628235,0.027188662716540662,0.06269724049981162,2020-06-15
50-59,2,0.04707388594809305,0.03562371504585915,0.060882381915060124,2020-06-15
60-69,2,0.04987784299487895,0.03789878792671382,0.06427769177354925,2020-06-14
70+,2,0.04535713402473124,0.03220182925649804,0.061872138615920336,2020-06-15
0-9,3,0.004487402510941839,8.850929362768244e-4,0.0133207000808937,2020-09-28
10-19,3,0.03132095713144599,0.017738037064279275,0.050917158841176646,2020-09-28
20-29,3,0.09902061661610512,0.06893440788584822,0.1365748610124643,2020-09-28
30-39,3,0.04913694426173055,0.033152272051528583,0.06980743117218657,2020-09-29
40-49,3,0.052779266959615975,0.03079354495728203,0.08364876612899108,2020-09-29
50-59,3,0.05249317455251845,0.03989186767271173,0.06763014975067372,2020-09-28
60-69,3,0.049523252630489976,0.03725193691291831,0.06436930534597995,2020-09-28
70+,3,0.047762221331499065,0.03452507546603477,0.06418553880068689,2020-09-28
0-9,4,0.05793934585375107,0.03226117272492965,0.09483461884182331,2021-02-17
10-19,4,0.12670574018635378,0.0875888803959408,0.17523484538857592,2021-02-17
20-29,4,0.20809234045665626,0.16707564214942278,0.254047094818051,2021-02-17
30-39,4,0.12743148226180712,0.0998010378832829,0.1594436730441029,2021-02-17
40-49,4,0.12463567458676793,0.0943087276615149,0.160482338037102,2021-02-17
50-59,4,0.1250035218420889,0.10487240977366992,0.14743337352420993,2021-02-17
60-69,4,0.0892278884386724,0.0722606568283403,0.10866600021717288,2021-02-17
70+,4,0.0965591257113544,0.07734302088995797,0.11868777023396337,2021-02-16
0-9,5,0.1552778001398983,0.09919336159141529,0.22681447462510418,2021-06-23
10-19,5,0.22353328717530466,0.16404518239726867,0.29265982652121525,2021-06-23
20-29,5,0.2650365906010509,0.21359607337040032,0.32167071132199354,2021-06-23
30-39,5,0.18352252185845935,0.13951672011086103,0.23451900058120168,2021-06-23
